Batch Size,Linger (ms),Compression,Num Partitions,Producer Throughput (msg/sec),Consumer Throughput (msg/sec),Producer Latency (sec/msg),Consumer Latency (sec/msg),Consumer Lag,Partition Distribution
16384,0,none,77,112.56,12.79,0.0089,0.0782,0,"{'image-data7-0': 518, 'image-data7-1': 338, 'image-data7-2': 216, 'image-data7-3': 162, 'image-data7-4': 102, 'image-data7-5': 95, 'image-data7-6': 47, 'image-data7-7': 40, 'image-data7-8': 22, 'image-data7-9': 0, 'image-data7-10': 0, 'image-data7-11': 0, 'image-data7-12': 0, 'image-data7-13': 0, 'image-data7-14': 0, 'image-data7-15': 0, 'image-data7-16': 0, 'image-data7-17': 0, 'image-data7-18': 0, 'image-data7-19': 0, 'image-data7-20': 0, 'image-data7-21': 0, 'image-data7-22': 0, 'image-data7-23': 0, 'image-data7-24': 0, 'image-data7-25': 0, 'image-data7-26': 0, 'image-data7-27': 0, 'image-data7-28': 0, 'image-data7-29': 0, 'image-data7-30': 0, 'image-data7-31': 0, 'image-data7-32': 0, 'image-data7-33': 0, 'image-data7-34': 0, 'image-data7-35': 0, 'image-data7-36': 0, 'image-data7-37': 0, 'image-data7-38': 0, 'image-data7-39': 0, 'image-data7-40': 0, 'image-data7-41': 0, 'image-data7-42': 0, 'image-data7-43': 0, 'image-data7-44': 0, 'image-data7-45': 0, 'image-data7-46': 0, 'image-data7-47': 0, 'image-data7-48': 0, 'image-data7-49': 0, 'image-data7-50': 0, 'image-data7-51': 0, 'image-data7-52': 0, 'image-data7-53': 0, 'image-data7-54': 0, 'image-data7-55': 0, 'image-data7-56': 0, 'image-data7-57': 0, 'image-data7-58': 0, 'image-data7-59': 0, 'image-data7-60': 0, 'image-data7-61': 0, 'image-data7-62': 0, 'image-data7-63': 0, 'image-data7-64': 0, 'image-data7-65': 0, 'image-data7-66': 0, 'image-data7-67': 0, 'image-data7-68': 0, 'image-data7-69': 0, 'image-data7-70': 0, 'image-data7-71': 0, 'image-data7-72': 0, 'image-data7-73': 0, 'image-data7-74': 0, 'image-data7-75': 0, 'image-data7-76': 0}"
32768,5,gzip,78,127.52,12.78,0.0078,0.0782,0,"{'image-data7-0': 518, 'image-data7-1': 338, 'image-data7-2': 216, 'image-data7-3': 162, 'image-data7-4': 102, 'image-data7-5': 95, 'image-data7-6': 47, 'image-data7-7': 40, 'image-data7-8': 22, 'image-data7-9': 0, 'image-data7-10': 0, 'image-data7-11': 0, 'image-data7-12': 0, 'image-data7-13': 0, 'image-data7-14': 0, 'image-data7-15': 0, 'image-data7-16': 0, 'image-data7-17': 0, 'image-data7-18': 0, 'image-data7-19': 0, 'image-data7-20': 0, 'image-data7-21': 0, 'image-data7-22': 0, 'image-data7-23': 0, 'image-data7-24': 0, 'image-data7-25': 0, 'image-data7-26': 0, 'image-data7-27': 0, 'image-data7-28': 0, 'image-data7-29': 0, 'image-data7-30': 0, 'image-data7-31': 0, 'image-data7-32': 0, 'image-data7-33': 0, 'image-data7-34': 0, 'image-data7-35': 0, 'image-data7-36': 0, 'image-data7-37': 0, 'image-data7-38': 0, 'image-data7-39': 0, 'image-data7-40': 0, 'image-data7-41': 0, 'image-data7-42': 0, 'image-data7-43': 0, 'image-data7-44': 0, 'image-data7-45': 0, 'image-data7-46': 0, 'image-data7-47': 0, 'image-data7-48': 0, 'image-data7-49': 0, 'image-data7-50': 0, 'image-data7-51': 0, 'image-data7-52': 0, 'image-data7-53': 0, 'image-data7-54': 0, 'image-data7-55': 0, 'image-data7-56': 0, 'image-data7-57': 0, 'image-data7-58': 0, 'image-data7-59': 0, 'image-data7-60': 0, 'image-data7-61': 0, 'image-data7-62': 0, 'image-data7-63': 0, 'image-data7-64': 0, 'image-data7-65': 0, 'image-data7-66': 0, 'image-data7-67': 0, 'image-data7-68': 0, 'image-data7-69': 0, 'image-data7-70': 0, 'image-data7-71': 0, 'image-data7-72': 0, 'image-data7-73': 0, 'image-data7-74': 0, 'image-data7-75': 0, 'image-data7-76': 0, 'image-data7-77': 0}"
65536,10,snappy,79,128.87,12.78,0.0078,0.0782,0,"{'image-data7-0': 518, 'image-data7-1': 338, 'image-data7-2': 216, 'image-data7-3': 162, 'image-data7-4': 102, 'image-data7-5': 95, 'image-data7-6': 47, 'image-data7-7': 40, 'image-data7-8': 22, 'image-data7-9': 0, 'image-data7-10': 0, 'image-data7-11': 0, 'image-data7-12': 0, 'image-data7-13': 0, 'image-data7-14': 0, 'image-data7-15': 0, 'image-data7-16': 0, 'image-data7-17': 0, 'image-data7-18': 0, 'image-data7-19': 0, 'image-data7-20': 0, 'image-data7-21': 0, 'image-data7-22': 0, 'image-data7-23': 0, 'image-data7-24': 0, 'image-data7-25': 0, 'image-data7-26': 0, 'image-data7-27': 0, 'image-data7-28': 0, 'image-data7-29': 0, 'image-data7-30': 0, 'image-data7-31': 0, 'image-data7-32': 0, 'image-data7-33': 0, 'image-data7-34': 0, 'image-data7-35': 0, 'image-data7-36': 0, 'image-data7-37': 0, 'image-data7-38': 0, 'image-data7-39': 0, 'image-data7-40': 0, 'image-data7-41': 0, 'image-data7-42': 0, 'image-data7-43': 0, 'image-data7-44': 0, 'image-data7-45': 0, 'image-data7-46': 0, 'image-data7-47': 0, 'image-data7-48': 0, 'image-data7-49': 0, 'image-data7-50': 0, 'image-data7-51': 0, 'image-data7-52': 0, 'image-data7-53': 0, 'image-data7-54': 0, 'image-data7-55': 0, 'image-data7-56': 0, 'image-data7-57': 0, 'image-data7-58': 0, 'image-data7-59': 0, 'image-data7-60': 0, 'image-data7-61': 0, 'image-data7-62': 0, 'image-data7-63': 0, 'image-data7-64': 0, 'image-data7-65': 0, 'image-data7-66': 0, 'image-data7-67': 0, 'image-data7-68': 0, 'image-data7-69': 0, 'image-data7-70': 0, 'image-data7-71': 0, 'image-data7-72': 0, 'image-data7-73': 0, 'image-data7-74': 0, 'image-data7-75': 0, 'image-data7-76': 0, 'image-data7-77': 0, 'image-data7-78': 0}"
128000,20,none,80,121.5,12.78,0.0082,0.0782,0,"{'image-data7-0': 518, 'image-data7-1': 338, 'image-data7-2': 216, 'image-data7-3': 162, 'image-data7-4': 102, 'image-data7-5': 95, 'image-data7-6': 47, 'image-data7-7': 40, 'image-data7-8': 22, 'image-data7-9': 0, 'image-data7-10': 0, 'image-data7-11': 0, 'image-data7-12': 0, 'image-data7-13': 0, 'image-data7-14': 0, 'image-data7-15': 0, 'image-data7-16': 0, 'image-data7-17': 0, 'image-data7-18': 0, 'image-data7-19': 0, 'image-data7-20': 0, 'image-data7-21': 0, 'image-data7-22': 0, 'image-data7-23': 0, 'image-data7-24': 0, 'image-data7-25': 0, 'image-data7-26': 0, 'image-data7-27': 0, 'image-data7-28': 0, 'image-data7-29': 0, 'image-data7-30': 0, 'image-data7-31': 0, 'image-data7-32': 0, 'image-data7-33': 0, 'image-data7-34': 0, 'image-data7-35': 0, 'image-data7-36': 0, 'image-data7-37': 0, 'image-data7-38': 0, 'image-data7-39': 0, 'image-data7-40': 0, 'image-data7-41': 0, 'image-data7-42': 0, 'image-data7-43': 0, 'image-data7-44': 0, 'image-data7-45': 0, 'image-data7-46': 0, 'image-data7-47': 0, 'image-data7-48': 0, 'image-data7-49': 0, 'image-data7-50': 0, 'image-data7-51': 0, 'image-data7-52': 0, 'image-data7-53': 0, 'image-data7-54': 0, 'image-data7-55': 0, 'image-data7-56': 0, 'image-data7-57': 0, 'image-data7-58': 0, 'image-data7-59': 0, 'image-data7-60': 0, 'image-data7-61': 0, 'image-data7-62': 0, 'image-data7-63': 0, 'image-data7-64': 0, 'image-data7-65': 0, 'image-data7-66': 0, 'image-data7-67': 0, 'image-data7-68': 0, 'image-data7-69': 0, 'image-data7-70': 0, 'image-data7-71': 0, 'image-data7-72': 0, 'image-data7-73': 0, 'image-data7-74': 0, 'image-data7-75': 0, 'image-data7-76': 0, 'image-data7-77': 0, 'image-data7-78': 0, 'image-data7-79': 0}"
512000,50,gzip,81,126.52,12.78,0.0079,0.0782,0,"{'image-data7-0': 518, 'image-data7-1': 338, 'image-data7-2': 216, 'image-data7-3': 162, 'image-data7-4': 102, 'image-data7-5': 95, 'image-data7-6': 47, 'image-data7-7': 40, 'image-data7-8': 22, 'image-data7-9': 0, 'image-data7-10': 0, 'image-data7-11': 0, 'image-data7-12': 0, 'image-data7-13': 0, 'image-data7-14': 0, 'image-data7-15': 0, 'image-data7-16': 0, 'image-data7-17': 0, 'image-data7-18': 0, 'image-data7-19': 0, 'image-data7-20': 0, 'image-data7-21': 0, 'image-data7-22': 0, 'image-data7-23': 0, 'image-data7-24': 0, 'image-data7-25': 0, 'image-data7-26': 0, 'image-data7-27': 0, 'image-data7-28': 0, 'image-data7-29': 0, 'image-data7-30': 0, 'image-data7-31': 0, 'image-data7-32': 0, 'image-data7-33': 0, 'image-data7-34': 0, 'image-data7-35': 0, 'image-data7-36': 0, 'image-data7-37': 0, 'image-data7-38': 0, 'image-data7-39': 0, 'image-data7-40': 0, 'image-data7-41': 0, 'image-data7-42': 0, 'image-data7-43': 0, 'image-data7-44': 0, 'image-data7-45': 0, 'image-data7-46': 0, 'image-data7-47': 0, 'image-data7-48': 0, 'image-data7-49': 0, 'image-data7-50': 0, 'image-data7-51': 0, 'image-data7-52': 0, 'image-data7-53': 0, 'image-data7-54': 0, 'image-data7-55': 0, 'image-data7-56': 0, 'image-data7-57': 0, 'image-data7-58': 0, 'image-data7-59': 0, 'image-data7-60': 0, 'image-data7-61': 0, 'image-data7-62': 0, 'image-data7-63': 0, 'image-data7-64': 0, 'image-data7-65': 0, 'image-data7-66': 0, 'image-data7-67': 0, 'image-data7-68': 0, 'image-data7-69': 0, 'image-data7-70': 0, 'image-data7-71': 0, 'image-data7-72': 0, 'image-data7-73': 0, 'image-data7-74': 0, 'image-data7-75': 0, 'image-data7-76': 0, 'image-data7-77': 0, 'image-data7-78': 0, 'image-data7-79': 0, 'image-data7-80': 0}"
